	Tags	SeqName	Description	Length	#Hits	e-Value	sim mean	#GO	GO IDs	GO Names	Enzyme Codes	Enzyme Names	InterPro IDs	InterPro GO IDs	InterPro GO Names
true	[BLASTED]	mtb_smORF100_4318519_4318734_plus	Uncharacterised protein	71	2	1.09492E-9	98.84								
true	[BLASTED]	mtb_smORF101_13859_14092_plus	Uncharacterised protein	77	11	1.7077E-48	81.54								
true	[NO-BLAST]	mtb_smORF102_71534_71836_plus	---NA---	100											
true	[NO-BLAST]	mtb_smORF103_74489_74698_plus	---NA---	69											
true	[BLASTED]	mtb_smORF104_99371_99640_plus	Conserved membrane protein of uncharacterised function	89	3	4.13574E-34	99.19								
true	[BLASTED]	mtb_smORF105_130910_131122_plus	Uncharacterised protein	70	18	3.11651E-39	76.29								
true	[NO-BLAST]	mtb_smORF106_221807_221989_plus	---NA---	60											
true	[NO-BLAST]	mtb_smORF107_293567_293794_plus	---NA---	75											
true	[NO-BLAST]	mtb_smORF108_333086_333349_plus	---NA---	87											
true	[BLASTED]	mtb_smORF109_339107_339367_plus	predicted protein	86	20	1.74693E-55	100.0								
true	[BLASTED]	mtb_smORF110_476237_476467_plus	hypothetical protein, partial	76	2	5.05579E-48	100.0								
true	[BLASTED]	mtb_smORF111_622142_622345_plus	ATPase involved in chromosome partitioning	67	1	3.24147E-38	100.0								
true	[NO-BLAST]	mtb_smORF112_675992_676234_plus	---NA---	80											
true	[BLASTED]	mtb_smORF113_752828_753076_plus	Uncharacterised protein	82	3	5.51598E-37	100.0								
true	[BLASTED]	mtb_smORF114_832469_832696_plus	hypothetical protein MLAC_39980	75	2	6.97696E-8	74.28								
true	[NO-BLAST]	mtb_smORF115_934178_934459_plus	---NA---	93											
true	[BLASTED]	mtb_smORF116_986144_986413_plus	Uncharacterised protein	89	2	2.36968E-34	100.0								
true	[NO-BLAST]	mtb_smORF117_1026815_1027075_plus	---NA---	86											
true	[BLASTED]	mtb_smORF118_1034516_1034755_plus	Uncharacterised protein	79	2	1.41254E-31	100.0								
true	[NO-BLAST]	mtb_smORF119_1113812_1114060_plus	---NA---	82											
true	[BLASTED]	mtb_smORF120_1164173_1164466_plus	Conserved protein of uncharacterised function%2C possible phage protein	97	1	2.30581E-52	98.86								
true	[NO-BLAST]	mtb_smORF121_1169123_1169290_plus	---NA---	55											
true	[BLASTED, MAPPED, ANNOTATED]	mtb_smORF122_1176647_1176904_plus	integrase	85	20	4.22978E-54	87.54	1	P:GO:0006259	P:DNA metabolic process					
true	[BLASTED]	mtb_smORF123_1200482_1200580_plus	hypothetical protein CAB90_01225	32	1	3.59988E-12	100.0								
true	[BLASTED, MAPPED, ANNOTATED]	mtb_smORF124_1215752_1216054_plus	cellulase celA2b	100	20	2.33583E-66	100.0	2	P:GO:0000272; F:GO:0008810	P:polysaccharide catabolic process; F:cellulase activity	EC:3.2.1.4	Cellulase			
true	[NO-BLAST]	mtb_smORF125_1239956_1240108_plus	---NA---	50											
true	[BLASTED]	mtb_smORF126_1282145_1282354_plus	Uncharacterised protein	69	2	2.9763E-24	100.0								
true	[NO-BLAST]	mtb_smORF127_1351010_1351309_plus	---NA---	99											
true	[BLASTED]	mtb_smORF128_1389143_1389262_plus	hypothetical protein MT1285	39	1	1.33949E-20	100.0								
true	[BLASTED]	mtb_smORF129_1472558_1472665_plus	Uncharacterised protein	35	20	4.28429E-14	93.48								
true	[BLASTED]	mtb_smORF130_1473209_1473346_plus	Uncharacterised protein	45	20	5.73525E-19	80.83								
true	[BLASTED]	mtb_smORF131_1473464_1473613_plus	hypothetical protein	49	2	2.15165E-9	100.0								
true	[NO-BLAST]	mtb_smORF132_1547600_1547755_plus	---NA---	51											
true	[BLASTED]	mtb_smORF133_1593875_1594171_plus	HNH endonuclease signature motif containing protein	98	3	7.17796E-16	82.33								
true	[BLASTED]	mtb_smORF134_1622768_1623007_plus	transcriptional regulator	79	20	3.47701E-51	99.49								
true	[BLASTED]	mtb_smORF135_1653512_1653799_plus	Uncharacterised protein	95	1	9.27209E-6	100.0								
true	[BLASTED, MAPPED, ANNOTATED]	mtb_smORF136_1701098_1701346_plus	methyltransferase family protein	82	20	6.75213E-52	87.96	4	F:GO:0005506; F:GO:0016712; F:GO:0020037; C:GO:0016020	F:iron ion binding; F:oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced flavin or flavoprotein as one donor, and incorporation of one atom of oxygen; F:heme binding; C:membrane	EC:1.14.14	Acting on paired donors, with incorporation or reduction of molecular oxygen. The oxygen incorporated need not be derived from O(2)			
true	[BLASTED]	mtb_smORF137_1757438_1757671_plus	Uncharacterised protein	77	20	5.50919E-49	97.34								
true	[NO-BLAST]	mtb_smORF138_1851941_1852213_plus	---NA---	90											
true	[BLASTED]	mtb_smORF139_1900838_1901131_plus	hypothetical protein BN9982_530014	97	1	5.00591E-62	100.0								
true	[BLASTED]	mtb_smORF140_1914938_1915096_plus	tyrosyl-tRNA synthase tyrS	52	3	1.36559E-27	100.0								
true	[BLASTED]	mtb_smORF141_1946417_1946524_plus	Uncharacterised protein	35	3	5.33623E-5	100.0								
true	[BLASTED]	mtb_smORF142_1999208_1999426_plus	hypothetical protein CIP107514_02156	72	1	1.12588E-5	54.93								
true	[BLASTED]	mtb_smORF143_2014478_2014684_plus	Uncharacterised protein	68	6	2.12893E-40	98.98								
true	[BLASTED]	mtb_smORF144_2017475_2017717_plus	Uncharacterised protein	80	1	1.44076E-51	100.0								
true	[BLASTED]	mtb_smORF145_2031965_2032243_plus	Uncharacterised protein	92	5	6.50162E-56	86.17								
true	[NO-BLAST]	mtb_smORF146_2087654_2087914_plus	---NA---	86											
true	[BLASTED, MAPPED, ANNOTATED]	mtb_smORF147_2138423_2138701_plus	Uncharacterised protein	92	5	5.67248E-45	93.1	3	P:GO:0044238; P:GO:0044281; P:GO:0071704	P:primary metabolic process; P:small molecule metabolic process; P:organic substance metabolic process					
true	[BLASTED]	mtb_smORF148_2142080_2142373_plus	Putative integrase fragment	97	12	8.52985E-62	89.29								
true	[BLASTED]	mtb_smORF149_2207438_2207740_plus	Uncharacterised protein	100	7	3.22828E-27	97.19								
true	[BLASTED]	mtb_smORF150_2232275_2232427_plus	putative 23S rRNA methyltransferase Erm(37)	50	20	1.63429E-26	93.52								
true	[BLASTED]	mtb_smORF151_2255927_2256106_plus	trehalose-6-phosphate phosphatase OtsB1	59	4	2.03401E-30	100.0								
true	[BLASTED]	mtb_smORF152_2263226_2263429_plus	Uncharacterised protein	67	20	1.36566E-41	99.63								
true	[BLASTED]	mtb_smORF153_2365133_2365381_plus	Uncharacterised protein	82	8	4.36797E-51	98.81								
true	[BLASTED]	mtb_smORF154_2398403_2398684_plus	dihydroorotate dehydrogenase	93	20	1.55518E-47	98.98								
true	[NO-BLAST]	mtb_smORF155_2581511_2581651_plus	---NA---	46											
true	[BLASTED]	mtb_smORF156_2626205_2626360_plus	Conserved membrane protein of uncharacterised function	51	2	6.84312E-8	100.0								
true	[BLASTED]	mtb_smORF157_2679968_2680177_plus	Uncharacterised protein	69	1	6.09567E-32	100.0								
true	[BLASTED]	mtb_smORF158_2739794_2740063_plus	hypothetical protein MIC448_190004	89	3	2.1492E-28	71.87								
true	[NO-BLAST]	mtb_smORF159_2745140_2745400_plus	---NA---	86											
true	[BLASTED]	mtb_smORF160_2827949_2828236_plus	Uncharacterised protein	95	1	1.94487E-58	98.95								
true	[NO-BLAST]	mtb_smORF161_2830742_2830921_plus	---NA---	59											
true	[BLASTED]	mtb_smORF162_2877695_2877943_plus	conserved hypothetical protein	82	2	1.53409E-4	85.19								
true	[BLASTED]	mtb_smORF163_2881466_2881702_plus	Protein of uncharacterised function (DUF2652)	78	20	1.99602E-49	95.81								
true	[NO-BLAST]	mtb_smORF164_2955611_2955694_plus	---NA---	27											
true	[BLASTED]	mtb_smORF165_2959898_2960095_plus	Uncharacterised protein	65	5	1.07442E-30	99.69								
true	[BLASTED]	mtb_smORF166_3071306_3071563_plus	Uncharacterised protein	85	1	7.97134E-39	100.0								
true	[BLASTED, MAPPED, ANNOTATED]	mtb_smORF167_3168212_3168427_plus	hydrogenase nickel incorporation protein HypB	71	20	2.83399E-43	99.37	4	P:GO:0051604; F:GO:0003924; F:GO:0008270; F:GO:0016151	P:protein maturation; F:GTPase activity; F:zinc ion binding; F:nickel cation binding	EC:3.6.1.15	Nucleoside-triphosphate phosphatase			
true	[BLASTED]	mtb_smORF168_3178196_3178336_plus	GIY-YIG nuclease family protein	46	20	1.17301E-24	70.77								
true	[NO-BLAST]	mtb_smORF169_3214259_3214501_plus	---NA---	80											
true	[BLASTED]	mtb_smORF170_3414104_3414349_plus	Uncharacterised protein	81	1	1.33478E-21	100.0								
true	[NO-BLAST]	mtb_smORF171_3457910_3458065_plus	---NA---	51											
true	[BLASTED]	mtb_smORF172_3494735_3494992_plus	pyridoxamine 5'-phosphate oxidase family protein	85	20	5.68271E-56	99.35								
true	[BLASTED, MAPPED, ANNOTATED]	mtb_smORF173_3568280_3568537_plus	ABC transporter ATP-binding protein	85	1	2.03181E-9	100.0	2	P:GO:0006744; F:GO:0005524	P:ubiquinone biosynthetic process; F:ATP binding					
true	[BLASTED]	mtb_smORF174_3593570_3593767_plus	hypothetical protein MRGA327_19780	65	1	6.2685E-22	100.0								
true	[NO-BLAST]	mtb_smORF175_3597533_3597802_plus	---NA---	89											
true	[BLASTED]	mtb_smORF176_3610046_3610243_plus	Uncharacterised protein	65	3	7.36261E-27	88.04								
true	[BLASTED]	mtb_smORF177_3639944_3640066_plus	hypothetical protein I917_22890	40	1	3.74587E-7	100.0								
true	[NO-BLAST]	mtb_smORF178_3708155_3708205_plus	---NA---	16											
true	[NO-BLAST]	mtb_smORF179_3720902_3721123_plus	---NA---	73											
true	[BLASTED]	mtb_smORF180_3753509_3753724_plus	Uncharacterised protein	71	2	1.09492E-9	98.84								
true	[NO-BLAST]	mtb_smORF181_3798512_3798805_plus	---NA---	97											
true	[BLASTED]	mtb_smORF182_3798956_3799063_plus	hypothetical protein MT3491.1	35	2	9.80006E-16	100.0								
true	[BLASTED, MAPPED]	mtb_smORF183_3799118_3799306_plus	multidrug transporter	62	14	1.59281E-36	79.26	10	P:GO:0015871; P:GO:0031460; P:GO:0046677; P:GO:0055085; F:GO:0015199; F:GO:0015220; F:GO:0015297; F:GO:0022857; C:GO:0005886; C:GO:0016020	P:choline transport; P:glycine betaine transport; P:response to antibiotic; P:transmembrane transport; F:amino-acid betaine transmembrane transporter activity; F:choline transmembrane transporter activity; F:antiporter activity; F:transmembrane transporter activity; C:plasma membrane; C:membrane					
true	[BLASTED]	mtb_smORF184_3843605_3843865_plus	Uncharacterised protein	86	17	6.99447E-55	97.05								
true	[BLASTED]	mtb_smORF185_3965423_3965620_plus	IS21 family transposase	65	20	2.19352E-38	98.37								
true	[NO-BLAST]	mtb_smORF186_3997712_3997819_plus	---NA---	35											
true	[BLASTED]	mtb_smORF187_4008284_4008448_plus	hypothetical protein BCGT_3432	54	1	7.82533E-31	100.0								
true	[BLASTED, MAPPED, ANNOTATED]	mtb_smORF188_4008461_4008562_plus	type II toxin-antitoxin system VapB family antitoxin	33	20	4.53565E-13	94.98	2	P:GO:0006355; F:GO:0016740	P:regulation of DNA-templated transcription; F:transferase activity	EC:2	Transferases			
true	[BLASTED]	mtb_smORF189_4205246_4205515_plus	Uncharacterised protein	89	1	1.45469E-37	100.0								
true	[BLASTED]	mtb_smORF190_4215809_4216081_plus	hypothetical protein	90	1	2.38755E-35	100.0								
true	[NO-BLAST]	mtb_smORF191_4376090_4376377_plus	---NA---	95											
true	[BLASTED]	mtb_smORF192_4393088_4393300_plus	hypothetical protein BTU11_21450	70	4	8.07688E-41	100.0								
true	[BLASTED]	mtb_smORF193_230481_230630_plus	hypothetical protein MT0204.1	49	2	7.43385E-26	100.0								
true	[BLASTED]	mtb_smORF194_316371_316568_plus	hypothetical protein	65	1	1.57457E-14	100.0								
true	[NO-BLAST]	mtb_smORF195_333126_333380_plus	---NA---	84											
true	[BLASTED]	mtb_smORF196_424614_424898_plus	hypothetical protein VNDN105_03680	94	1	7.4757E-33	100.0								
true	[NO-BLAST]	mtb_smORF197_665262_665540_plus	---NA---	92											
true	[BLASTED]	mtb_smORF198_665667_665831_plus	Uncharacterised protein	54	1	6.49437E-32	100.0								
true	[NO-BLAST]	mtb_smORF199_702255_702467_plus	---NA---	70											
true	[BLASTED]	mtb_smORF200_704520_704759_plus	Uncharacterised protein	79	20	6.6515E-33	99.24								
true	[BLASTED]	mtb_smORF201_733458_733718_plus	preprotein translocase subunit SecE	86	1	1.98296E-5	66.0								
true	[NO-BLAST]	mtb_smORF202_878424_878660_plus	---NA---	78											
true	[NO-BLAST]	mtb_smORF203_895512_895784_plus	---NA---	90											
true	[NO-BLAST]	mtb_smORF204_924666_924878_plus	---NA---	70											
true	[BLASTED]	mtb_smORF205_931818_931994_plus	Uncharacterised protein	58	1	2.57727E-34	100.0								
true	[BLASTED]	mtb_smORF206_996186_996467_plus	Uncharacterised protein	93	1	1.46552E-35	100.0								
true	[NO-BLAST]	mtb_smORF207_1052526_1052732_plus	---NA---	68											
true	[BLASTED]	mtb_smORF208_1176228_1176485_plus	Fic family protein	85	10	1.46167E-55	99.38								
true	[BLASTED]	mtb_smORF209_1195992_1196228_plus	Uncharacterised protein	78	3	9.70033E-50	100.0								
true	[BLASTED, MAPPED, ANNOTATED]	mtb_smORF210_1264338_1264556_plus	acetyl-CoA acetyltransferase	72	20	1.29841E-45	98.89	1	F:GO:0016747	F:acyltransferase activity, transferring groups other than amino-acyl groups	EC:2.3.1	Acyltransferases			
true	[BLASTED]	mtb_smORF211_1282890_1283036_plus	DUF1059 domain-containing protein	48	20	8.16266E-27	98.02								
true	[BLASTED]	mtb_smORF212_1338507_1338776_plus	Uncharacterised protein	89	3	4.84906E-56	98.41								
true	[NO-BLAST]	mtb_smORF213_1409265_1409522_plus	---NA---	85											
true	[BLASTED]	mtb_smORF214_1425870_1426052_plus	Uncharacterised protein	60	2	6.77204E-23	100.0								
true	[BLASTED, MAPPED]	mtb_smORF215_1474818_1474901_plus	Uncharacterised protein	27	20	1.18938E-6	88.52	6	P:GO:0015979; C:GO:0009507; C:GO:0009522; C:GO:0009535; C:GO:0009579; C:GO:0016020	P:photosynthesis; C:chloroplast; C:photosystem I; C:chloroplast thylakoid membrane; C:thylakoid; C:membrane					
true	[NO-BLAST]	mtb_smORF216_1524783_1524962_plus	---NA---	59											
true	[BLASTED, MAPPED, ANNOTATED]	mtb_smORF217_1589199_1589501_plus	alanine racemase	100	20	2.03003E-43	99.23	3	P:GO:0036088; F:GO:0008721; F:GO:0043876	P:D-serine catabolic process; F:D-serine ammonia-lyase activity; F:D-threonine aldolase activity	EC:4.3.1.18; EC:4.1.2.42	D-serine ammonia-lyase; D-threonine aldolase			
true	[NO-BLAST]	mtb_smORF218_1692630_1692800_plus	---NA---	56											
true	[BLASTED]	mtb_smORF219_1774863_1775120_plus	hypothetical protein	85	1	1.16513E-9	96.88								
true	[BLASTED, MAPPED, ANNOTATED]	mtb_smORF220_1842168_1842428_plus	Uncharacterised protein	86	17	4.20414E-55	95.85	1	F:GO:0016757	F:glycosyltransferase activity	EC:2.4	Glycosyltransferases			
true	[BLASTED, MAPPED, ANNOTATED]	mtb_smORF221_1899972_1900247_plus	Conserved exported protein of uncharacterised function	91	20	6.57548E-41	98.12	1	C:GO:0016020	C:membrane					
true	[NO-BLAST]	mtb_smORF222_1934403_1934555_plus	---NA---	50											
true	[NO-BLAST]	mtb_smORF223_1957407_1957565_plus	---NA---	52											
true	[NO-BLAST]	mtb_smORF224_2041812_2041988_plus	---NA---	58											
true	[BLASTED]	mtb_smORF225_2124897_2125094_plus	hypothetical protein NCGM2209_2209	65	4	3.69928E-15	84.38								
true	[BLASTED]	mtb_smORF226_2136030_2136218_plus	hypothetical protein, partial	62	1	7.83595E-23	100.0								
true	[BLASTED, MAPPED, ANNOTATED]	mtb_smORF227_2206950_2207207_plus	hypothetical protein MRA_1974	85	7	4.70964E-54	99.33	1	C:GO:0016020	C:membrane					
true	[BLASTED, MAPPED, ANNOTATED]	mtb_smORF228_2232399_2232671_plus	PIN domain-containing protein	90	20	7.30236E-41	94.42	4	P:GO:0035821; F:GO:0000287; F:GO:0004540; F:GO:0090729	P:modulation of process of another organism; F:magnesium ion binding; F:RNA nuclease activity; F:toxin activity	EC:3.1	Acting on ester bonds			
true	[NO-BLAST]	mtb_smORF229_2256450_2256668_plus	---NA---	72											
true	[NO-BLAST]	mtb_smORF230_2332842_2333144_plus	---NA---	100											
true	[NO-BLAST]	mtb_smORF231_2402646_2402867_plus	---NA---	73											
true	[BLASTED]	mtb_smORF232_2481594_2481857_plus	Uncharacterised protein	87	2	1.24485E-54	100.0								
true	[BLASTED]	mtb_smORF233_2594520_2594732_plus	Uncharacterised protein	70	3	2.98693E-42	77.61								
